name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,Country
Frontier Mountain 95013,10698,Valid,L6,0.7,Found,01/01/1995 12:00:00 AM,-72.98917,160.40888999999999,"-72.98917, 160.40889",
Frontier Mountain 95014,10699,Valid,H4,3.5,Found,01/01/1995 12:00:00 AM,-72.99667,160.41722,"-72.99667, 160.41722",
Frontier Mountain 95015,10700,Valid,H4,1.9,Found,01/01/1995 12:00:00 AM,-72.98833,160.40861,"-72.98833, 160.40861",
Frontier Mountain 95019,10704,Valid,H5,13.0,Found,01/01/1995 12:00:00 AM,-72.95472,160.44,"-72.95472, 160.44",
Frontier Mountain 95022,10707,Valid,H6,3.9,Found,01/01/1995 12:00:00 AM,-72.95306,160.46361000000002,"-72.95306, 160.46361",
Frontier Mountain 95024,10709,Valid,H4,6.3,Found,01/01/1995 12:00:00 AM,-72.9525,160.50833,"-72.9525, 160.50833",
Frontier Mountain 95028,10713,Valid,Ureilite,13.9,Found,01/01/1995 12:00:00 AM,-72.95111,160.51389,"-72.95111, 160.51389",
Frontier Mountain 95030,10715,Valid,H5,13.1,Found,01/01/1995 12:00:00 AM,-72.95267,160.50117,"-72.95267, 160.50117",
Frontier Mountain 95031,10716,Valid,H4,0.5,Found,01/01/1995 12:00:00 AM,-72.95111,160.50833,"-72.95111, 160.50833",
Frontier Mountain 95032,10717,Valid,H4,17.4,Found,01/01/1995 12:00:00 AM,-72.98944,160.41222,"-72.98944, 160.41222",
Frontier Mountain 95033,10718,Valid,H5,23.9,Found,01/01/1995 12:00:00 AM,-72.95389,160.43361000000002,"-72.95389, 160.43361",
Frontier Mountain 95034,10719,Valid,H6,1.2,Found,01/01/1995 12:00:00 AM,-72.95472,160.40888999999999,"-72.95472, 160.40889",
Frontier Mountain 95035,10720,Valid,L6,4.8,Found,01/01/1995 12:00:00 AM,-72.98944,160.40944,"-72.98944, 160.40944",
Frontier Mountain 95036,10721,Valid,H3,21.5,Found,01/01/1995 12:00:00 AM,-72.9515,160.505,"-72.9515, 160.505",
Frontier Mountain 95040,10725,Valid,H5,8.4,Found,01/01/1995 12:00:00 AM,-72.95267,160.5535,"-72.95267, 160.5535",
Frontier Mountain 95042,10727,Valid,H5,14.2,Found,01/01/1995 12:00:00 AM,-72.95067,160.50833,"-72.95067, 160.50833",
